,Dataset name,n,m,Solution value,Time,isCorrect
0,data/exp/inputs/HC_large/HC_30_10_0.1.txt,300,5717,4367,0.7866594791412354,True
1,data/exp/inputs/HC_large/HC_40_20_0.2.txt,800,70210,62610,48.40630602836609,True
2,data/exp/inputs/HC_large/HC_30_15_0.2.txt,450,22926,19776,8.354856967926025,True
3,data/exp/inputs/HC_large/HC_25_15_0.3.txt,375,23104,20506,9.307543754577637,True
4,data/exp/inputs/HC_large/HC_35_25_0.2.txt,875,84984,74484,68.58581709861755,True
5,data/exp/inputs/HC_large/HC_30_20_0.1.txt,600,23059,17359,6.460450649261475,True
6,data/exp/inputs/HC_large/HC_35_10_0.1.txt,350,7558,5983,1.153871774673462,True
7,data/exp/inputs/HC_large/HC_20_10_0.3.txt,200,6698,5832,1.328136920928955,True
8,data/exp/inputs/HC_large/HC_30_25_0.1.txt,750,36122,27122,13.016374349594116,True
9,data/exp/inputs/HC_large/HC_35_10_0.3.txt,350,19585,18670,7.093743324279785,True
10,data/exp/inputs/HC_large/HC_25_10_0.3.txt,250,10250,9310,2.617393970489502,True
11,data/exp/inputs/HC_large/HC_20_10_0.1.txt,200,2867,1967,0.2665250301361084,True
12,data/exp/inputs/HC_large/HC_40_15_0.2.txt,600,39308,35108,19.0077908039093,True
13,data/exp/inputs/HC_large/HC_40_10_0.2.txt,400,17556,15756,5.362942218780518,True
14,data/exp/inputs/HC_large/HC_35_25_0.3.txt,875,122075,111575,137.8038935661316,True
15,data/exp/inputs/HC_large/HC_30_20_0.3.txt,600,57953,52290,39.80319786071777,True
16,data/exp/inputs/HC_large/HC_35_15_0.2.txt,525,30510,26835,13.017865896224976,True
17,data/exp/inputs/HC_large/HC_40_10_0.3.txt,400,25399,24323,10.772463083267212,True
18,data/exp/inputs/HC_large/HC_30_15_0.1.txt,450,13041,9891,2.607661247253418,True
19,data/exp/inputs/HC_large/HC_20_20_0.2.txt,400,19171,15371,6.232099294662476,True
20,data/exp/inputs/HC_large/HC_25_20_0.3.txt,500,40781,36068,22.31763195991516,True
21,data/exp/inputs/HC_large/HC_35_15_0.1.txt,525,17097,13422,4.013808250427246,True
22,data/exp/inputs/HC_large/HC_40_20_0.1.txt,800,38804,31204,14.737541437149048,True
23,data/exp/inputs/HC_large/HC_25_10_0.1.txt,250,4173,3048,0.4550142288208008,True
24,data/exp/inputs/HC_large/HC_30_25_0.3.txt,750,90639,81639,85.33449339866638,True
25,data/exp/inputs/HC_large/HC_40_15_0.1.txt,600,21709,17509,5.8892502784729,True
26,data/exp/inputs/HC_large/HC_40_25_0.1.txt,1000,60738,48738,29.900680780410767,True
27,data/exp/inputs/HC_large/HC_35_10_0.2.txt,350,13631,12073,3.5537304878234863,True
28,data/exp/inputs/HC_large/HC_20_15_0.3.txt,300,15057,12957,4.794807195663452,True
29,data/exp/inputs/HC_large/HC_20_25_0.2.txt,500,29795,23795,12.507355451583862,True
30,data/exp/inputs/HC_large/HC_35_20_0.1.txt,700,30425,23775,9.968241930007935,True
31,data/exp/inputs/HC_large/HC_20_20_0.1.txt,400,11475,7675,2.1291139125823975,True
32,data/exp/inputs/HC_large/HC_25_25_0.2.txt,625,45098,37598,23.714755535125732,True
33,data/exp/inputs/HC_large/HC_40_20_0.3.txt,800,101351,93788,103.08242702484131,True
34,data/exp/inputs/HC_large/HC_20_15_0.1.txt,300,6396,4296,0.8668842315673828,True
35,data/exp/inputs/HC_large/HC_20_25_0.1.txt,500,17891,11891,4.273935317993164,True
36,data/exp/inputs/HC_large/HC_25_25_0.1.txt,625,26214,18714,7.86441969871521,True
37,data/exp/inputs/HC_large/HC_25_25_0.3.txt,625,63840,56340,46.73894166946411,True
38,data/exp/inputs/HC_large/HC_35_20_0.3.txt,700,78145,71532,67.40960454940796,True
39,data/exp/inputs/HC_large/HC_40_25_0.3.txt,1000,158381,146428,213.0123507976532,True
40,data/exp/inputs/HC_large/HC_40_10_0.1.txt,400,9651,7851,1.6201398372650146,True
41,data/exp/inputs/HC_large/HC_30_10_0.3.txt,300,14531,13457,4.4534900188446045,True
42,data/exp/inputs/HC_large/HC_40_15_0.3.txt,600,56872,52827,38.29527187347412,True
43,data/exp/inputs/HC_large/HC_25_20_0.1.txt,500,16752,12002,3.826744556427002,True
44,data/exp/inputs/HC_large/HC_30_20_0.2.txt,600,40520,34820,19.978899717330933,True
45,data/exp/inputs/HC_large/HC_25_15_0.1.txt,375,9413,6788,1.6062965393066406,True
