,Dataset name,n,m,Solution value,Time,isCorrect
0,data/exp/inputs/HC_small/HC_6_20_0.1.txt,120,1730,590,0.11596226692199707,True
1,data/exp/inputs/HC_small/HC_3_10_0.1.txt,30,163,28,0.005135536193847656,True
2,data/exp/inputs/HC_small/HC_3_20_0.3.txt,60,939,369,0.09940695762634277,True
3,data/exp/inputs/HC_small/HC_12_20_0.1.txt,240,4977,2697,0.626378059387207,True
4,data/exp/inputs/HC_small/HC_15_5_0.3.txt,75,958,824,0.08062028884887695,True
5,data/exp/inputs/HC_small/HC_12_10_0.3.txt,120,2541,2024,0.3323707580566406,True
6,data/exp/inputs/HC_small/HC_15_10_0.2.txt,150,2815,2140,0.36346936225891113,True
7,data/exp/inputs/HC_small/HC_6_10_0.2.txt,60,567,297,0.03300595283508301,True
8,data/exp/inputs/HC_small/HC_15_15_0.1.txt,225,3995,2420,0.4386470317840576,True
9,data/exp/inputs/HC_small/HC_9_15_0.3.txt,135,3400,2455,0.564007043838501,True
10,data/exp/inputs/HC_small/HC_6_5_0.1.txt,30,90,30,0.0032491683959960938,True
11,data/exp/inputs/HC_small/HC_12_5_0.3.txt,60,629,533,0.04856252670288086,True
12,data/exp/inputs/HC_small/HC_3_10_0.2.txt,30,204,69,0.00856924057006836,True
13,data/exp/inputs/HC_small/HC_9_15_0.2.txt,135,2578,1633,0.3280317783355713,True
14,data/exp/inputs/HC_small/HC_9_10_0.2.txt,90,1137,732,0.09592056274414062,True
15,data/exp/inputs/HC_small/HC_3_15_0.2.txt,45,457,142,0.02311253547668457,True
16,data/exp/inputs/HC_small/HC_12_5_0.1.txt,60,268,148,0.010837793350219727,True
17,data/exp/inputs/HC_small/HC_3_5_0.2.txt,15,47,17,0.0015385150909423828,True
18,data/exp/inputs/HC_small/HC_9_20_0.1.txt,180,3148,1438,0.3242990970611572,True
19,data/exp/inputs/HC_small/HC_9_5_0.2.txt,45,270,180,0.012453794479370117,True
20,data/exp/inputs/HC_small/HC_6_15_0.2.txt,90,1314,684,0.10662674903869629,True
21,data/exp/inputs/HC_small/HC_15_20_0.2.txt,300,11391,8541,3.0048351287841797,True
22,data/exp/inputs/HC_small/HC_6_20_0.2.txt,120,2349,1209,0.2298121452331543,True
23,data/exp/inputs/HC_small/HC_6_10_0.3.txt,60,731,461,0.04694414138793945,True
24,data/exp/inputs/HC_small/HC_6_15_0.1.txt,90,963,333,0.049271345138549805,True
25,data/exp/inputs/HC_small/HC_12_15_0.1.txt,180,2747,1487,0.25333380699157715,True
26,data/exp/inputs/HC_small/HC_15_10_0.3.txt,150,3865,3207,0.6054058074951172,True
27,data/exp/inputs/HC_small/HC_3_20_0.2.txt,60,801,231,0.04761052131652832,True
28,data/exp/inputs/HC_small/HC_12_5_0.2.txt,60,445,325,0.02292799949645996,True
29,data/exp/inputs/HC_small/HC_3_5_0.3.txt,15,55,25,0.0015947818756103516,True
30,data/exp/inputs/HC_small/HC_9_20_0.2.txt,180,4641,2931,0.6776785850524902,True
31,data/exp/inputs/HC_small/HC_9_10_0.1.txt,90,760,355,0.039116859436035156,True
